NAME: berlin52_full_jobs
TYPE: VRP-RPD
COMMENT: Full berlin52 with all 51 customers (node 1 is depot)
DEPOT: 1
NUM_AGENTS: 6
RESOURCES_PER_AGENT: 4
JOB_TIMES_SECTION
2 375
3 126
4 310
5 384
6 342
7 297
8 484
9 612
10 153
11 200
12 150
13 376
14 468
15 125
16 301
17 96
18 686
19 546
20 308
21 810
22 525
23 728
24 82
25 217
26 672
27 481
28 494
29 44
30 627
31 650
32 640
33 29
34 552
35 360
36 325
37 588
38 558
39 882
40 760
41 216
42 720
43 272
44 459
45 574
46 480
47 47
48 481
49 286
50 559
51 192
52 750
EOF
