NAME: eil101_full_jobs
TYPE: VRP-RPD
COMMENT: Full eil101 with all 100 customers (node 1 is depot)
DEPOT: 1
NUM_AGENTS: 6
RESOURCES_PER_AGENT: 4
JOB_TIMES_SECTION
2 125
3 210
4 155
5 240
6 190
7 135
8 220
9 170
10 255
11 200
12 150
13 235
14 180
15 125
16 215
17 160
18 245
19 195
20 140
21 225
22 175
23 260
24 205
25 155
26 240
27 185
28 130
29 220
30 165
31 250
32 200
33 145
34 230
35 180
36 125
37 210
38 155
39 245
40 190
41 135
42 225
43 170
44 255
45 205
46 150
47 235
48 185
49 130
50 215
51 160
52 250
53 195
54 140
55 230
56 175
57 260
58 210
59 155
60 240
61 185
62 135
63 220
64 165
65 255
66 200
67 145
68 235
69 180
70 125
71 215
72 160
73 245
74 190
75 140
76 225
77 170
78 260
79 205
80 150
81 240
82 185
83 130
84 220
85 165
86 250
87 195
88 145
89 230
90 175
91 125
92 210
93 155
94 245
95 190
96 135
97 220
98 170
99 255
100 200
101 150
EOF
