NAME: eil51_full_jobs
TYPE: VRP-RPD
COMMENT: Full eil51 with all 50 customers (node 1 is depot)
DEPOT: 1
NUM_AGENTS: 6
RESOURCES_PER_AGENT: 4
JOB_TIMES_SECTION
2 125
3 672
4 124
5 720
6 342
7 189
8 44
9 476
10 918
11 720
12 120
13 188
14 468
15 225
16 86
17 224
18 490
19 273
20 532
21 765
22 595
23 156
24 697
25 496
26 336
27 666
28 416
29 660
30 396
31 850
32 320
33 232
34 322
35 468
36 250
37 672
38 465
39 49
40 342
41 108
42 360
43 34
44 1020
45 41
46 600
47 188
48 444
49 182
50 731
51 448
EOF
