customer_id,processing_time
1,15800
2,865
3,5395
4,11969
5,11289
6,6270
7,16855
8,4431
9,14428
10,11368
11,16028
12,8327
13,1690
14,774
15,2438
16,5316
17,5056
18,6425
19,17573
20,19774
21,6401
22,8671
23,18947
24,18436
25,2752
26,194
27,19123
28,3010
29,1904
30,1272
31,17917
32,11399
33,3561
34,3895
35,8843
36,14507
37,10632
38,8797
39,10560
40,10258
41,8438
42,10238
43,11021
44,2617
45,15792
46,17164
47,12211
48,8231
49,14546
50,3157
51,1590
52,3948
53,19462
54,1026
55,11658
56,10810
57,13422
58,7994
59,9697
60,12995
61,6878
62,5680
63,166
64,4302
65,1000
66,11539
67,7634
68,1021
69,8534
70,17267
71,9273
72,12190
73,6336
74,8576
75,7213
76,5281
77,18451
78,16453
79,16221
80,8011
81,2573
82,2032
83,2700
84,15427
85,5263
86,6741
87,396
88,13991
89,12671
90,5897
91,3566
92,6189
93,19488
94,8397
95,13072
96,15270
97,19493
98,2459
99,11842
100,14044
101,19120
102,10970
103,9767
104,5061
105,14953
106,8115
107,13778
108,17417
109,507
110,6915
111,12690
112,211
113,17873
114,15939
115,17252
116,19179
117,8760
118,12388
119,18146
120,14825
121,7579
122,6379
123,1683
124,19631
125,1064
126,16203
127,9919
128,19546
129,10822
130,10926
131,9794
132,16317
133,11257
134,2698
135,13936
136,3632
137,16162
138,10178
139,18052
140,10235
141,15712
142,11499
143,1311
144,6781
145,9479
146,7531
147,5535
148,3753
149,13550
150,668
151,2003
152,7999
153,17884
154,3309
155,18242
156,13813
157,6590
158,17680
159,19970
160,11654
161,1641
162,17087
163,4742
164,14560
165,13882
166,859
167,5860
168,7397
169,13954
170,18096
171,5796
172,4936
173,19899
174,207
175,11452
176,12693
177,4394
178,2332
179,8009
180,19320
181,7782
182,202
183,1935
184,11779
185,15092
186,9344
187,11594
188,18900
189,15713
190,17048
191,2816
192,14248
193,6551
194,1991
195,8343
196,11416
197,2916
198,1739
199,18232
200,8685
201,19365
202,18348
203,5764
204,2390
205,11116
206,4741
207,1807
208,8160
209,8125
210,6621
211,14262
212,14491
213,16651
214,14080
215,9213
216,16376
217,11840
218,13173
219,2054
220,5428
221,14594
222,19497
223,7163
224,10253
225,7405
226,19559
227,9879
228,15156
229,18644
230,1159
231,4504
