NAME: kroA100_full_jobs
TYPE: VRP-RPD
COMMENT: Full kroA100 with all 99 customers (node 1 is depot)
DEPOT: 1
NUM_AGENTS: 6
RESOURCES_PER_AGENT: 4
JOB_TIMES_SECTION
2 225
3 378
4 279
5 336
6 38
7 243
8 88
9 68
10 51
11 320
12 60
13 235
14 360
15 75
16 172
17 224
18 49
19 156
20 196
21 405
22 35
23 468
24 246
25 279
26 432
27 185
28 130
29 220
30 132
31 400
32 120
33 58
34 184
35 108
36 175
37 336
38 248
39 343
40 152
41 243
42 180
43 68
44 510
45 82
46 270
47 47
48 185
49 104
50 387
51 160
52 200
53 39
54 280
55 368
56 350
57 416
58 252
59 217
60 432
61 185
62 81
63 88
64 297
65 102
66 360
67 29
68 94
69 324
70 200
71 215
72 256
73 147
74 380
75 56
76 180
77 68
78 104
79 123
80 210
81 288
82 370
83 208
84 220
85 231
86 50
87 156
88 29
89 138
90 140
91 50
92 126
93 62
94 392
95 342
96 54
97 352
98 34
99 255
100 120
EOF
