NAME: kroA100_full_jobs
TYPE: VRP-RPD
COMMENT: Full kroA100 with all 99 customers (node 1 is depot)
DEPOT: 1
NUM_AGENTS: 6
RESOURCES_PER_AGENT: 4
JOB_TIMES_SECTION
2 50
3 84
4 62
5 96
6 76
7 54
8 88
9 68
10 102
11 80
12 60
13 94
14 72
15 50
16 86
17 64
18 98
19 78
20 56
21 90
22 70
23 104
24 82
25 62
26 96
27 74
28 52
29 88
30 66
31 100
32 80
33 58
34 92
35 72
36 50
37 84
38 62
39 98
40 76
41 54
42 90
43 68
44 102
45 82
46 60
47 94
48 74
49 52
50 86
51 64
52 100
53 78
54 56
55 92
56 70
57 104
58 84
59 62
60 96
61 74
62 54
63 88
64 66
65 102
66 80
67 58
68 94
69 72
70 50
71 86
72 64
73 98
74 76
75 56
76 90
77 68
78 104
79 82
80 60
81 96
82 74
83 52
84 88
85 66
86 100
87 78
88 58
89 92
90 70
91 50
92 84
93 62
94 98
95 76
96 54
97 88
98 68
99 102
100 80
EOF
