NAME: kroA100_full_jobs
TYPE: VRP-RPD
COMMENT: Full kroA100 with all 99 customers (node 1 is depot)
DEPOT: 1
NUM_AGENTS: 6
RESOURCES_PER_AGENT: 4
JOB_TIMES_SECTION
2 25
3 42
4 31
5 48
6 38
7 27
8 44
9 34
10 51
11 40
12 30
13 47
14 36
15 25
16 43
17 32
18 49
19 39
20 28
21 45
22 35
23 52
24 41
25 31
26 48
27 37
28 26
29 44
30 33
31 50
32 40
33 29
34 46
35 36
36 25
37 42
38 31
39 49
40 38
41 27
42 45
43 34
44 51
45 41
46 30
47 47
48 37
49 26
50 43
51 32
52 50
53 39
54 28
55 46
56 35
57 52
58 42
59 31
60 48
61 37
62 27
63 44
64 33
65 51
66 40
67 29
68 47
69 36
70 25
71 43
72 32
73 49
74 38
75 28
76 45
77 34
78 52
79 41
80 30
81 48
82 37
83 26
84 44
85 33
86 50
87 39
88 29
89 46
90 35
91 25
92 42
93 31
94 49
95 38
96 27
97 44
98 34
99 51
100 40
EOF
