customer_id,processing_time
1,873
2,3785
3,3105
4,479
5,3457
6,3184
7,2932
8,143
9,1698
10,782
11,2404
12,2446
13,1197
14,3398
15,4130
16,2917
17,487
18,1095
19,2571
20,2060
21,2760
22,988
23,1819
24,202
25,2747
26,3018
27,1912
28,1280
29,1541
30,3215
31,3569
32,3903
33,659
34,2901
35,2448
36,613
37,2376
38,2074
39,254
40,2054
41,2837
42,2625
43,1376
44,1491
45,2569
46,788
47,4027
48,47
49,3165
50,1968
51,1598
52,3956
53,3086
54,1034
55,3474
56,2626
57,3856
58,1513
59,174
60,1994
61,1008
62,3355
63,3811
64,1288
65,1029
66,350
67,891
68,1089
69,4006
70,392
71,505
72,2075
73,3897
74,77
75,2581
76,2040
77,2708
78,1508
79,404
80,3574
81,2291
82,3112
83,213
84,3117
85,2467
86,3658
87,817
88,2744
89,2786
90,1583
91,2703
92,3853
93,1041
94,515
95,883
96,219
97,1497
98,876
99,2803
